Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Footnote_Symbol,Data_Value_Footnote,PopulationCount,GeoLocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text
2014,TX,Texas,Austin,City,BRFSS,Prevention,4805000,Current lack of health insurance among adults aged 18–64 Years,%,AgeAdjPrv,Age-adjusted prevalence,20.9,20.7,21.2,,,"790,390","(30.3068610342, -97.7554771245)",PREVENT,ACCESS2,4805000,,Health Insurance
2014,TX,Texas,Austin,City,BRFSS,Prevention,4805000,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,23.5,23.2,23.8,,,"790,390","(30.3068610342, -97.7554771245)",PREVENT,ACCESS2,4805000,,Health Insurance
2014,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48209010901,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,,,,*,Estimates suppressed for population less than 50,2,"(30.1541323147, -97.9083324997)",PREVENT,ACCESS2,4805000,48209010901,Health Insurance
2014,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000101,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,10.1,8,12.7,,,"3,611","(30.3231638088, -97.7532685324)",PREVENT,ACCESS2,4805000,48453000101,Health Insurance
2014,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000102,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,6.8,5.4,8.7,,,"2,552","(30.3259687199, -97.7672291772)",PREVENT,ACCESS2,4805000,48453000102,Health Insurance
2014,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000203,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,16.8,13.8,21.5,,,"1,546","(30.3126275309, -97.7366585578)",PREVENT,ACCESS2,4805000,48453000203,Health Insurance
2014,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000204,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,13,11.3,15.1,,,"3,009","(30.3071669724, -97.7444637729)",PREVENT,ACCESS2,4805000,48453000204,Health Insurance
2014,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000205,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,14.9,12.7,17.8,,,"3,394","(30.3261617411, -97.7343170626)",PREVENT,ACCESS2,4805000,48453000205,Health Insurance
2014,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000206,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,11.3,9.1,14.2,,,"2,687","(30.326153574, -97.7435152927)",PREVENT,ACCESS2,4805000,48453000206,Health Insurance
2014,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000302,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,15.4,12.8,18.5,,,"4,939","(30.3025595965, -97.7265034048)",PREVENT,ACCESS2,4805000,48453000302,Health Insurance
2014,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000304,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,18.1,15.3,21.3,,,"3,045","(30.3093759729, -97.7169057003)",PREVENT,ACCESS2,4805000,48453000304,Health Insurance
2014,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000305,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,14.9,12.1,18.1,,,"3,223","(30.3148722619, -97.7263019673)",PREVENT,ACCESS2,4805000,48453000305,Health Insurance
2014,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000306,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,17.1,13.9,20.6,,,"2,697","(30.2971560125, -97.7002733875)",PREVENT,ACCESS2,4805000,48453000306,Health Insurance
2014,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000307,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,15.7,12.8,19.4,,,"1,707","(30.2970325018, -97.7125662163)",PREVENT,ACCESS2,4805000,48453000307,Health Insurance
2014,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000401,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,15.6,13.1,18.6,,,"3,574","(30.288248219, -97.7250556275)",PREVENT,ACCESS2,4805000,48453000401,Health Insurance
2014,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000402,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,18,14.5,22,,,"2,606","(30.2841414645, -97.7155188107)",PREVENT,ACCESS2,4805000,48453000402,Health Insurance
2014,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000500,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,18.8,15.2,23.3,,,"4,518","(30.2960631844, -97.7341732747)",PREVENT,ACCESS2,4805000,48453000500,Health Insurance
2014,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000601,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,36.7,33.4,41.5,,,"9,207","(30.2874118835, -97.7380441813)",PREVENT,ACCESS2,4805000,48453000601,Health Insurance
2014,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000603,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,35.6,30.5,39.8,,,"7,793","(30.2919924148, -97.7462695279)",PREVENT,ACCESS2,4805000,48453000603,Health Insurance
2014,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000604,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,35.9,30.7,41.4,,,"6,496","(30.2855339039, -97.7477273854)",PREVENT,ACCESS2,4805000,48453000604,Health Insurance
2014,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000700,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,13.8,11.3,17.2,,,"1,339","(30.2776999882, -97.7411176287)",PREVENT,ACCESS2,4805000,48453000700,Health Insurance
2014,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000801,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,39.7,33.9,44.9,,,"1,498","(30.2669542063, -97.7014857394)",PREVENT,ACCESS2,4805000,48453000801,Health Insurance
2014,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000802,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,35.7,31.6,39.9,,,"3,067","(30.273555417, -97.7079841529)",PREVENT,ACCESS2,4805000,48453000802,Health Insurance
