zip_code,professionl_degree,professional_degree_P,population_P,population,owner_occupied_P,owner_occupied,mortgage_income_P,mortgage_income,median_rooms_P,median_rooms,median_income_P,median_income,cost_living_P,cost_living,college_degree_P,college_degree,average_household_P,average_household,age2544,age3554,age4564,age55,age65,educationcollegegraduate,educationgraduateplus,educationhighschool,educationsomecollege,employmentbluecollarmix,employmentmanagementandprofessional,employmentmix,employmentmostlyretired,employmentservicemix,familyfamilymix,familymostlywkids,familymostlywokids,familywokids,housinghomeowners,housingmix,housingmostlyowners,housingmostlyrenters,housingrenters,incomedownscale,incomelowermidscale,incomelowincome,incomemidscale,incomeuppermidscale,incomeupscale,incomewealthy,ipaaboveavg,ipabelowavg,ipaelite,ipahigh,ipalow,ipamillionaires,ipamoderate,lifestagef1,lifestagef2,lifestagef3,lifestagef4,lifestagem1,lifestagem2,lifestagem3,lifestagem4,lifestagey1,lifestagey2,lifestagey3,pzp_01,pzp_02,pzp_03,pzp_04,pzp_05,pzp_06,pzp_07,pzp_08,pzp_09,pzp_10,pzp_11,pzp_12,pzp_13,pzp_14,pzp_15,pzp_16,pzp_17,pzp_18,pzp_19,pzp_20,pzp_21,pzp_22,pzp_23,pzp_24,pzp_25,pzp_26,pzp_27,pzp_28,pzp_29,pzp_30,pzp_31,pzp_32,pzp_33,pzp_34,pzp_35,pzp_36,pzp_37,pzp_38,pzp_39,pzp_40,pzp_41,pzp_42,pzp_43,pzp_44,pzp_45,pzp_46,pzp_47,pzp_48,pzp_49,pzp_50,pzp_51,pzp_52,pzp_53,pzp_54,pzp_55,pzp_56,pzp_57,pzp_58,pzp_59,pzp_60,pzp_61,pzp_62,pzp_63,pzp_64,pzp_65,pzp_66,pzp_67,pzp_68,socialnamecitycenters,socialnamecountrycomfort,socialnameelitesuburbs,socialnameinnersuburbs,socialnamelandedgentry,socialnamemicrocitymix,socialnamemiddleamerica,socialnamemiddleburbs,socialnamemidtownmix,socialnamerusticliving,socialnamesecondcitysociety,socialnametheaffluentials,socialnameurbancores,socialnameurbanuptown,techclassaboveaverage,techclassaverage,techclassbelowaverage,techclasshighest,techclasslowest,urbanicitymetromix,urbanicityrural,urbanicitysecondcity,urbanicitysuburban,urbanicitytown,urbanicityurban,Austin
78613,48.6,91,90,34198,90,88.1,61,21.8,88,6.3,93,69542,71,140.6,88,38.8,87,2.9,2,3,0,0,0,4,1,0,0,0,5,0,0,0,4,1,0,0,1,1,3,0,0,0,0,0,0,1,3,1,0,1,1,2,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,5,0,0,0,0,4,0,0,0,1,0,1
78717,59.6,97,51,8209,58,79.3,26,19.5,96,7.2,97,87290,87,202.4,97,59.0,89,3.0,2,2,1,0,0,2,3,0,0,0,5,0,0,0,1,2,2,0,0,0,3,1,1,0,0,0,1,1,0,3,0,0,2,0,2,1,0,2,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,3,0,0,2,0,3,0,0,2,0,0,1
78610,38.5,80,63,13335,93,89.6,51,21.1,72,5.8,87,60528,70,136.7,76,26.6,90,3.0,2,3,0,0,0,3,1,1,0,0,3,1,0,1,4,1,0,0,2,0,2,1,0,1,0,0,1,1,1,1,0,1,1,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,5,0,1
78731,65.6,99,80,24068,14,59.3,67,22.3,41,5.4,89,62404,94,275.7,99,71.1,2,2.0,1,1,1,1,1,1,4,0,0,0,3,2,0,0,0,1,3,1,2,0,2,0,1,0,0,0,1,0,0,4,0,0,2,0,0,2,1,1,0,0,0,3,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,3,0,1,1,0,1,0,0,3,0,1,1
78641,36.0,76,73,18900,92,88.7,58,21.6,61,5.6,84,57294,60,114.9,73,24.9,86,2.9,2,3,0,0,0,5,0,0,0,0,5,0,0,0,3,2,0,0,1,0,4,0,0,0,0,0,0,2,3,0,0,1,0,2,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,4,1,0,0,0,4,1,0,0,0,0,1
78725,31.3,64,14,2187,91,88.2,94,26.4,66,5.7,70,47076,48,98.3,70,23.1,88,3.0,2,2,0,1,0,3,0,1,1,0,2,1,0,2,2,2,1,0,2,1,2,0,0,1,0,0,2,2,0,0,0,1,0,0,4,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,1,2,2,0,0,1,0,0,0,4,0,1
78728,49.8,92,70,17342,4,37.5,37,20.2,3,4.0,77,51078,72,142.2,92,46.9,4,2.1,3,2,0,0,0,3,0,1,1,0,3,0,0,2,4,0,1,0,0,1,1,1,2,0,0,2,0,1,2,0,0,1,0,1,3,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,4,0,0,1,0,5,0,0,0,0,0,1
78660,40.5,83,90,34618,95,90.6,45,20.7,80,6.0,91,65978,67,129.6,82,31.5,93,3.1,3,2,0,0,0,5,0,0,0,0,5,0,0,0,2,3,0,0,1,1,3,0,0,0,0,0,0,3,2,0,0,1,0,1,3,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,4,1,0,0,0,5,0,0,0,0,0,1
78748,40.4,83,81,25138,39,73.9,58,21.6,57,5.6,85,57710,66,129.2,84,34.4,72,2.7,1,4,0,0,0,4,0,1,0,0,3,1,0,1,3,1,1,0,1,0,3,0,1,0,0,1,1,1,2,0,0,2,0,1,2,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,4,1,0,0,0,4,0,0,0,0,1,1
78745,34.0,71,97,53136,9,51.9,43,20.6,12,4.9,63,43458,49,99.5,73,24.8,46,2.5,2,3,0,0,0,1,2,0,2,0,3,2,0,0,2,0,3,0,1,1,1,0,2,0,1,0,2,0,2,0,0,1,1,0,1,0,2,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,2,1,1,0,0,0,0,0,0,5,1
