0,zip_code,CAD Number,Response_Date,Call Date,Initial Problem Type,Final Problem Type,Block Address,Time PhonePickUp,Time First Unit Arrived,delta,minutes
"1300 Crossing Pl, Austin, TX 78741, USA",78741,122871877,2012-10-13 22:25:44,10/13/2012,Crash Service,xCRASH LEAVING THE SCENE,1300 Block CROSSING PL,2012-10-13 22:22:56.000,2012-10-13 22:58:36.000,0 days 00:35:40.000000000,35.6666666667
"5300 Indio Cir, Austin, TX 78745, USA",78745,122871877,2012-10-13 22:25:44,10/13/2012,Crash Service,xCRASH LEAVING THE SCENE,1300 Block CROSSING PL,2012-10-13 22:22:56.000,2012-10-13 22:58:36.000,0 days 00:35:40.000000000,35.6666666667
"400 Congress Ave, Austin, TX 78701, USA",78701,123530050,2012-12-18 00:43:29,12/18/2012,Subject Stop,Subject Stop,400 Block CONGRESS AVE,2012-12-18 00:43:29.000,2012-12-18 00:43:29.000,0 days 00:00:00.000000000,0.0
"11300 Robert Wooding Dr, Austin, TX 78748, USA",78748,123530050,2012-12-18 00:43:29,12/18/2012,Subject Stop,Subject Stop,400 Block CONGRESS AVE,2012-12-18 00:43:29.000,2012-12-18 00:43:29.000,0 days 00:00:00.000000000,0.0
"8504 Georgian Dr, Austin, TX 78753, USA",78753,133050746,2013-11-01 09:29:02,11/01/2013,Directed Patrol,Directed Patrol,8504-8500 Block GEORGIAN DR,2013-11-01 09:29:02.000,2013-11-01 09:29:02.000,0 days 00:00:00.000000000,0.0
"1702 Summit View Pl, Austin, TX 78703, USA",78703,150900052,2015-03-31 00:38:12,03/31/2015,Traffic Stop,Traffic Stop,W SLAUGHTER LN / MANCHACA RD,2015-03-31 00:38:12.000,2015-03-31 00:38:12.000,0 days 00:00:00.000000000,0.0
"6500 River Pl Blvd, Austin, TX 78730, USA",78730,163210559,2016-11-16 09:34:58,11/16/2016,Service,Service,6500 Block River Place Blvd,2016-11-16 09:33:33.000,2016-11-16 10:06:02.183,0 days 00:32:29.183000000,32.4833333333
"200 Lavaca St, Austin, TX 78701, USA",78701,163210559,2016-11-16 09:34:58,11/16/2016,Service,Service,6500 Block River Place Blvd,2016-11-16 09:33:33.000,2016-11-16 10:06:02.183,0 days 00:32:29.183000000,32.4833333333
"3300 Esperanza Crossing, Austin, TX 78758, USA",78758,120291114,2012-01-29 16:52:19,01/29/2012,Disturbance Urgent,xASSAULT BY CONTACT,3300 Block Esperanza Xing,2012-01-29 16:51:43.000,2012-01-29 17:04:41.000,0 days 00:12:58.000000000,12.9666666667
"1800 Colony Creek Dr, Austin, TX 78758, USA",78758,120291114,2012-01-29 16:52:19,01/29/2012,Disturbance Urgent,xASSAULT BY CONTACT,3300 Block Esperanza Xing,2012-01-29 16:51:43.000,2012-01-29 17:04:41.000,0 days 00:12:58.000000000,12.9666666667
"14900 Chamberlain Ct, Austin, TX 78724, USA",78724,123330335,2012-11-28 06:47:30,11/28/2012,Warrant Service,Warrant Service,14900 Block CHAMBERLAIN CT,2012-11-28 06:47:30.000,2012-11-28 06:47:30.000,0 days 00:00:00.000000000,0.0
"6400 Sandshof Dr, Austin, TX 78724, USA",78724,123330335,2012-11-28 06:47:30,11/28/2012,Warrant Service,Warrant Service,14900 Block CHAMBERLAIN CT,2012-11-28 06:47:30.000,2012-11-28 06:47:30.000,0 days 00:00:00.000000000,0.0
"2200 Mission Hill Dr, Austin, TX 78741, USA",78741,130011345,2013-01-01 09:45:48,01/01/2013,DOC / C.O. Violation,DOC / C.O. Violation,2200 Block Mission Hill Dr,2013-01-01 09:44:17.000,2013-01-01 09:58:02.000,0 days 00:13:45.000000000,13.75
"5000 Old Manor Rd, Austin, TX 78723, USA",78723,130011345,2013-01-01 09:45:48,01/01/2013,DOC / C.O. Violation,DOC / C.O. Violation,2200 Block Mission Hill Dr,2013-01-01 09:44:17.000,2013-01-01 09:58:02.000,0 days 00:13:45.000000000,13.75
"6800 Thorncliffe Dr, Austin, TX 78731, USA",78731,123331532,2012-11-28 18:35:45,11/28/2012,Missing Service,Missing Service,6800 Block Thorncliffe Dr,2012-11-28 18:34:53.000,2012-11-28 18:59:51.000,0 days 00:24:58.000000000,24.9666666667
"700 Dawson Rd, Austin, TX 78704, USA",78704,123331532,2012-11-28 18:35:45,11/28/2012,Missing Service,Missing Service,6800 Block Thorncliffe Dr,2012-11-28 18:34:53.000,2012-11-28 18:59:51.000,0 days 00:24:58.000000000,24.9666666667
"1000 Springdale Rd, Austin, TX 78702, USA",78702,131410952,2013-05-21 13:42:29,05/21/2013,Disturbance Other,Disturbance Other,1000 Block Springdale Rd,2013-05-21 13:37:28.000,2013-05-21 13:57:50.000,0 days 00:20:22.000000000,20.3666666667
"1000 Meadows Dr S, Austin, TX 78758, USA",78758,141570894,2014-06-06 12:10:33,06/06/2014,On Site Incident,ZBLUE FORM COLLISION,13700 Block research svrd nb,2014-06-06 12:10:33.000,2014-06-06 12:10:33.000,0 days 00:00:00.000000000,0.0
"3600 Tudor Blvd, Austin, TX 78759, USA",78759,141730584,2014-06-22 08:32:27,06/22/2014,Alarm Burglar,xFALSE BURGLAR ALARM,3600 Block Tudor Blvd,2014-06-22 08:32:18.000,2014-06-22 08:36:18.000,0 days 00:04:00.000000000,4.0
"2200 Burton Dr, Austin, TX 78741, USA",78741,141730584,2014-06-22 08:32:27,06/22/2014,Alarm Burglar,xFALSE BURGLAR ALARM,3600 Block Tudor Blvd,2014-06-22 08:32:18.000,2014-06-22 08:36:18.000,0 days 00:04:00.000000000,4.0
"10801 Ih 35 Service Rd. Nb, Austin, TX 78747, United States",78747,163470511,2016-12-12 09:33:42,12/12/2016,Crash Urgent,Crash Urgent,13325-13600 Block S Ih 35 Svrd Nb,2016-12-12 09:32:36.000,2016-12-12 09:48:41.203,0 days 00:16:05.203000000,16.0833333333
"9300 Manchaca Rd, Austin, TX 78748, USA",78748,163470511,2016-12-12 09:33:42,12/12/2016,Crash Urgent,Crash Urgent,13325-13600 Block S Ih 35 Svrd Nb,2016-12-12 09:32:36.000,2016-12-12 09:48:41.203,0 days 00:16:05.203000000,16.0833333333
"FM1825, Austin, TX 78660, USA",78660,162721070,2016-09-28 15:06:36,09/28/2016,Disturbance Other,Disturbance Other,15400 Block Fm 1825 Rd,2016-09-28 15:05:24.000,2016-09-28 15:28:13.133,0 days 00:22:49.133000000,22.8166666667
"1700 Barton Springs Rd, Austin, TX 78704, USA",78704,162721070,2016-09-28 15:06:36,09/28/2016,Disturbance Other,Disturbance Other,15400 Block Fm 1825 Rd,2016-09-28 15:05:24.000,2016-09-28 15:28:13.133,0 days 00:22:49.133000000,22.8166666667
"11500 Antigua Dr, Austin, TX 78759, USA",78759,153561336,2015-12-22 16:51:29,12/22/2015,Alarm Burglar,xFALSE BURGLAR ALARM,11500 Block Antigua Dr,2015-12-22 16:50:56.000,2015-12-22 17:00:51.000,0 days 00:09:55.000000000,9.91666666667
"5400 Overbrook Dr, Austin, TX 78723, USA",78723,153561336,2015-12-22 16:51:29,12/22/2015,Alarm Burglar,xFALSE BURGLAR ALARM,11500 Block Antigua Dr,2015-12-22 16:50:56.000,2015-12-22 17:00:51.000,0 days 00:09:55.000000000,9.91666666667
"Elkhart St, Austin, TX 78702, USA",78702,130100860,2013-01-10 12:50:37,01/10/2013,Crash Urgent,Crash Urgent,Elkhart St / E 2nd St,2013-01-10 12:50:26.000,2013-01-10 13:04:26.000,0 days 00:14:00.000000000,14.0
