X,Y,OBJECTID,ID,NAME,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,OWNER,TTL_STAFF,BEDS,TRAUMA,HELIPAD,DATECREATE
-110.9461202,32.24107321,6001,0,BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,1501 NORTH CAMPBELL AVENUE,NOT AVAILABLE,TUCSON,AZ,85724,NOT AVAILABLE,(520) 694-7367,SPECIAL,OPEN,479,PIMA,4019,USA,32.24107321,-110.9461202,622310,"HOSPITALS, SPECIALTY (EXCEPT PSYCHIATRIC, SUBSTANCE ABUSE)",http://www.azdhs.gov/als/databases/,2016-07-07T00:00:00.000Z,IMAGERY WITH OTHER,2015-01-07T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,4,GOVERNMENT - STATE,-999,479,LEVEL I,NOT AVAILABLE,2014-09-20T00:00:00.000Z
-79.61297062,41.93625332,6002,1,CORRY MEMORIAL HOSPITAL,965 SHAMROCK LANE,NOT AVAILABLE,CORRY,PA,16407,NOT AVAILABLE,(814) 664-4641,GENERAL ACUTE CARE,OPEN,20,ERIE,42049,USA,41.93625332,-79.61297062,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://sais.health.pa.gov/commonpoc/content/publiccommonpoc/normalSearch.asp,2016-09-26T00:00:00.000Z,IMAGERY,2016-09-26T00:00:00.000Z,http://www.corryhospital.com/,NOT AVAILABLE,NOT AVAILABLE,42,NON-PROFIT,-999,20,NOT AVAILABLE,Y,2016-09-26T00:00:00.000Z
-75.83676903,41.8375429,6003,2,ENDLESS MOUNTAINS HEALTH SYSTEMS,100 HOSPITAL DRIVE,NOT AVAILABLE,MONTROSE,PA,18801,NOT AVAILABLE,(570) 278-3801,GENERAL ACUTE CARE,OPEN,25,SUSQUEHANNA,42115,USA,41.8375429,-75.83676903,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://sais.health.pa.gov/commonpoc/content/publiccommonpoc/normalSearch.asp,2016-09-26T00:00:00.000Z,IMAGERY,2016-09-26T00:00:00.000Z,http://endlesscare.org/,NOT AVAILABLE,NOT AVAILABLE,42,NON-PROFIT,-999,25,NOT AVAILABLE,NOT AVAILABLE,2016-09-26T00:00:00.000Z
-75.17016216,39.92597552,6004,3,KINDRED HOSPITAL SOUTH PHILADELPHIA,1930 SOUTH BROAD STREET,UNIT #12,PHILADELPHIA,PA,19145,NOT AVAILABLE,(267) 570-5202,LONG TERM CARE,OPEN,58,PHILADELPHIA,42101,USA,39.92597552,-75.17016216,622310,"EXTENDED CARE HOSPITALS (EXCEPT MENTAL, SUBSTANCE ABUSE)",http://sais.health.pa.gov/commonpoc/content/publiccommonpoc/normalSearch.asp,2016-09-26T00:00:00.000Z,IMAGERY,2016-09-26T00:00:00.000Z,http://www.khsouthphilly.com/,NOT AVAILABLE,TRIUMPH HOSPITAL PHILADELPHIA,42,PROPRIETARY,-999,58,NOT AVAILABLE,NOT AVAILABLE,2016-09-26T00:00:00.000Z
-76.88031398,40.25804782,6005,4,SELECT SPECIALTY HOSPITAL CENTRAL PA,111 SOUTH FRONT STREET,NOT AVAILABLE,HARRISBURG,PA,17101,NOT AVAILABLE,(717) 724-6601,LONG TERM CARE,OPEN,-999,DAUPHIN,42043,USA,40.25804782,-76.88031398,622310,"EXTENDED CARE HOSPITALS (EXCEPT MENTAL, SUBSTANCE ABUSE)",http://sais.health.pa.gov/commonpoc/content/publiccommonpoc/normalSearch.asp,2016-09-26T00:00:00.000Z,IMAGERY WITH OTHER,2016-09-26T00:00:00.000Z,http://harrisburg.selectspecialtyhospitals.com/,NOT AVAILABLE,NOT AVAILABLE,42,PROPRIETARY,-999,-999,NOT AVAILABLE,NOT AVAILABLE,2016-09-26T00:00:00.000Z
-79.39357745,40.32127481,6006,5,SELECT SPECIALTY HOSPITAL LAUREL HIGHLANDS INC,1 MELLON WAY,NOT AVAILABLE,LATROBE,PA,15650,NOT AVAILABLE,(724) 539-3704,LONG TERM CARE,OPEN,-999,WESTMORELAND,42129,USA,40.32127481,-79.39357745,622310,"EXTENDED CARE HOSPITALS (EXCEPT MENTAL, SUBSTANCE ABUSE)",http://sais.health.pa.gov/commonpoc/content/publiccommonpoc/normalSearch.asp,2016-09-26T00:00:00.000Z,IMAGERY,2016-09-26T00:00:00.000Z,http://laurelhighlands.selectspecialtyhospitals.com/,NOT AVAILABLE,NOT AVAILABLE,42,PROPRIETARY,-999,-999,NOT AVAILABLE,NOT AVAILABLE,2016-09-26T00:00:00.000Z
-75.28782091,40.64914776,6007,6,ST LUKE'S HOSPITAL ANDERSON CAMPUS,1872 ST. LUKE'S BLVD,NOT AVAILABLE,EASTON,PA,18045,NOT AVAILABLE,(610) 954-3850,GENERAL ACUTE CARE,OPEN,108,NORTHAMPTON,42095,USA,40.64914776,-75.28782091,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://sais.health.pa.gov/commonpoc/content/publiccommonpoc/normalSearch.asp,2016-09-26T00:00:00.000Z,IMAGERY,2016-09-26T00:00:00.000Z,http://anderson.slhn.org/,NOT AVAILABLE,NOT AVAILABLE,42,NON-PROFIT,-999,108,NOT AVAILABLE,NOT AVAILABLE,2016-09-26T00:00:00.000Z
-76.79429025,41.79361105,6008,7,TROY COMMUNITY HOSPITAL,275 GUTHRIE DRIVE,NOT AVAILABLE,TROY,PA,16947,NOT AVAILABLE,(570) 297-9210,GENERAL ACUTE CARE,OPEN,25,BRADFORD,42015,USA,41.79361105,-76.79429025,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://sais.health.pa.gov/commonpoc/content/publiccommonpoc/normalSearch.asp,2016-09-26T00:00:00.000Z,IMAGERY,2016-09-26T00:00:00.000Z,https://www.guthrie.org/location/guthrie-troy-community-hospital,NOT AVAILABLE,NOT AVAILABLE,42,NON-PROFIT,-999,25,NOT AVAILABLE,NOT AVAILABLE,2016-09-26T00:00:00.000Z
-75.15489453,39.94789309,6009,8,WILLS EYE HOSPITAL,840 WALNUT STREET,7TH FLOOR,PHILADELPHIA,PA,19107,NOT AVAILABLE,(215) 440-3150,SPECIAL,OPEN,-999,PHILADELPHI,42101,USA,39.94789309,-75.15489453,622310,"HOSPITALS, SPECIALTY (EXCEPT PSYCHIATRIC, SUBSTANCE ABUSE)",http://sais.health.pa.gov/commonpoc/content/publiccommonpoc/normalSearch.asp,2016-09-26T00:00:00.000Z,IMAGERY,2016-09-26T00:00:00.000Z,https://www.willseye.org/,NOT AVAILABLE,NOT AVAILABLE,42,NON-PROFIT,-999,-999,NOT AVAILABLE,N,2016-09-26T00:00:00.000Z
-70.1008,41.2752,6010,9,NANTUCKET COTTAGE HOSPITAL,57 PROSPECT STREET,NOT AVAILABLE,NANTUCKET,MA,2554,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,19,NANTUCKET,25019,USA,41.2752,-70.1008,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2016-07-29T00:00:00.000Z,IMAGERY WITH OTHER,2014-02-10T00:00:00.000Z,http://www.nantuckethospital.org,63,NANTUCKET COTTAGE HOSPITAL,25,NON-PROFIT,-999,19,NOT AVAILABLE,Y,2013-03-12T00:00:00.000Z
-87.56729117,37.9679888,6011,10,SELECT SPECIALTY HOSPITAL-EVANSVILLE,400 SE 4TH ST,NOT AVAILABLE,EVANSVILLE,IN,47713,NOT AVAILABLE,(812) 421-2330,LONG TERM CARE,OPEN,60,VANDERBURGH,18163,USA,37.9679888,-87.56729117,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,2016-04-13T00:00:00.000Z,IMAGERY,2014-02-10T00:00:00.000Z,"http://www.selectspecialtyhospitals.com/company/locations/evansvill
e.aspx",12-009443-1,NOT AVAILABLE,18,PROPRIETARY,-999,60,NOT AVAILABLE,NOT AVAILABLE,2012-11-29T00:00:00.000Z
-93.26651851,37.14643934,6012,11,SELECT SPECIALTY HOSPITAL - SPRINGFIELD,1630 EAST PRIMROSE STREET,NOT AVAILABLE,SPRINGFIELD,MO,65804,NOT AVAILABLE,(417) 881-1657,LONG TERM CARE,OPEN,44,GREENE,29077,USA,37.14643934,-93.26651852,622310,"EXTENDED CARE HOSPITALS (EXCEPT MENTAL, SUBSTANCE ABUSE)",http://health.mo.gov/safety/healthservregs/directories.php,2016-08-01T00:00:00.000Z,IMAGERY,2014-02-10T00:00:00.000Z,http://www.selectspecialtyhospitals.com/company/locations/springfield.aspx,H170,NOT AVAILABLE,29,PROPRIETARY,-999,44,NOT AVAILABLE,NOT AVAILABLE,2013-03-07T00:00:00.000Z
