OBJECTID,ID,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,HSIPTHEMES,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,WEBSITE,FCODE,GNIS_ID,SOURCE,GOVT_LEVEL,TOT_STAFF,SPEC_EQUIP,SDR
3001,0,SOUTH WINDSOR HEALTH DEPARTMENT,860-644-2511,1540 SULLIVAN AVENUE,SOUTH WINDSOR TOWN HALL,SOUTH WINDSOR,CT,6074,2734,HARTFORD,9003, , , , ,2009-12-09T00:00:00.000Z,PHONE,2009-12-09T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,22276274,-72.5528497,41.829396,NAVTEQ,2009Q2,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.SOUTHWINDSOR.ORG/PAGES/SWINDSORCT_HEALTH/INDEX,80028, ,TECHNIGRAPHICS,LOCAL,0, ,YES
3002,1,TOWN OF LEYDEN BOARD OF HEALTH,413-774-4111,16 WEST LEYDEN ROAD,TOWN HALL,LEYDEN,MA,1337,9737,FRANKLIN,25011, , , , ,2009-12-07T00:00:00.000Z,PHONE,2009-12-07T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,89713396,-72.6312059,42.7007314,NAVTEQ,2009Q2,ONENTITY,YES,TECHNIGRAPHICS, ,80028, ,TECHNIGRAPHICS,LOCAL,0, ,NO
3003,2,TOWN OF MONROE BOARD OF HEALTH,413-424-5272,3C SCHOOL STREET,TOWN HALL,MONROE BRIDGE,MA,1350, ,FRANKLIN,25011, , , , ,2009-12-07T00:00:00.000Z,PHONE,2009-12-07T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,89661863,-72.9416991,42.7223991,NAVTEQ,2009Q2,ONENTITY,YES,TECHNIGRAPHICS, ,80028, ,TECHNIGRAPHICS,LOCAL,0, ,YES
3004,3,FRANKLIN HEALTH OFFICER,802-285-2101,5167 MAIN STREET,TOWN HALL,FRANKLIN,VT,5457, ,FRANKLIN,50011,REPRESENTED AT ADMINISTRATIVE LOCATION, , , ,2010-01-05T00:00:00.000Z,PHONE,2010-01-05T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,89386983,-72.9158672,44.9814412,NAVTEQ,2009Q2,ONENTITY,YES,TECHNIGRAPHICS, ,80028, ,TECHNIGRAPHICS,LOCAL,0, ,YES
3005,4,DEERFIELD BOARD OF HEALTH,413-665-1400,8 CONWAY STREET, ,SOUTH DEERFIELD,MA,1373,1021,FRANKLIN,25011, , , , ,2009-12-15T00:00:00.000Z,PHONE,2009-12-15T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,89660462,-72.6082936,42.4793042,NAVTEQ,2009Q2,ONENTITY,YES,TECHNIGRAPHICS, ,80028, ,TECHNIGRAPHICS,LOCAL,0, ,YES
3006,5,WASHINGTON BOARD OF HEALTH,413-623-2116,8 SUMMIT HILL ROAD,TOWN HALL,WASHINGTON,MA,1223,9627,BERKSHIRE,25003, , , , ,2009-12-04T00:00:00.000Z,PHONE,2009-12-04T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,89676111,-73.115914,42.3730941,NAVTEQ,2009Q2,ONENTITY,YES,TECHNIGRAPHICS, ,80028, ,TECHNIGRAPHICS,LOCAL,0, ,YES
3007,6,TRUMBULL/MONROE HEALTH DISTRICT,203-452-5195,5892 MAIN STREET,TOWN HALL ANNEX,TRUMBULL,CT,6611,2466,FAIRFIELD,9001, , , , ,2009-12-08T00:00:00.000Z,PHONE,2009-12-08T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,755569438,-73.2192139,41.257739,NAVTEQ,2009Q2,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.TRUMBULLCT.COM/HEALTHDISTRICT.HTM,80028, ,TECHNIGRAPHICS,LOCAL,0, ,YES
3008,7,WESTPORT WESTON HEALTH DISTRICT,203-227-9571,180 BAYBERRY LANE, ,WESTPORT,CT,6880,2802,FAIRFIELD,9001, , , , ,2009-12-09T00:00:00.000Z,PHONE,2009-12-09T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,92827634,-73.3295844,41.1709802,NAVTEQ,2009Q2,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.WWHD.ORG,80028, ,TECHNIGRAPHICS,LOCAL,0, ,YES
3009,8,BRISTOL-BURLINGTON HEALTH DISTRICT,860-584-7682,240 STAFFORD AVENUE,BRISTOL SENIOR COMMUNITY CENTER,BRISTOL,CT,6010,4682,HARTFORD,9003, , , , ,2009-12-09T00:00:00.000Z,PHONE,2009-12-09T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,22229203,-72.9007621,41.6835051,NAVTEQ,2009Q2,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.BBHD.ORG/,80028, ,TECHNIGRAPHICS,LOCAL,0, ,YES
3010,9,DURHAM COUNTY PUBLIC HEALTH DEPARTMENT,919-560-7600,414 EAST MAIN STREET, ,DURHAM,NC,27701,3720,DURHAM,37063, , , , ,2009-12-15T00:00:00.000Z,PHONE,2009-12-15T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,17087391,-78.8965125,35.9924089,NAVTEQ,2009Q2,ONENTITY,YES,TECHNIGRAPHICS,WWW.DURHAMCOUNTYNC.GOV/DEPARTMENTS/PHTH,80028, ,TECHNIGRAPHICS,LOCAL,0, ,YES
3011,10,NEW ASHFORD BOARD OF HEALTH,413-458-5461,199 MALLERY ROAD,TOWN HALL,NEW ASHFORD,MA,1237,9618,BERKSHIRE,25003, , , , ,2009-12-04T00:00:00.000Z,PHONE,2009-12-04T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,89664570,-73.2407298,42.6044125,NAVTEQ,2009Q2,ONENTITY,YES,TECHNIGRAPHICS, ,80028, ,TECHNIGRAPHICS,LOCAL,0, ,YES
