Site Region,,,
Zip Code,Index,Rank,County
78742,99.3,5,Travis
78741,97,5,Travis
78752,96.3,5,Travis
78721,96.2,5,Travis
78744,94.7,5,Travis
78724,94.6,5,Travis
78617,93.3,5,Travis
78719,92.5,5,Travis
78705,92.1,5,Travis
78712,89.8,5,Travis
78753,89,5,Travis
78702,86.6,5,Travis
78723,86,5,Travis
78758,86,5,Travis
78725,85.1,5,Travis
78653,62.7,4,Travis
78745,52.5,4,Travis
78754,49.1,4,Travis
78751,37.2,3,Travis
78728,36,3,Travis
78747,35.5,3,Travis
78722,34.8,3,Travis
78704,32.2,3,Travis
78660,22.2,2,Travis
78757,21.4,2,Travis
78748,19.9,2,Travis
78727,17.2,2,Travis
78645,13,2,Travis
78652,11.6,2,Travis
78756,9.6,1,Travis
78750,7.7,1,Travis
78749,7,1,Travis
78726,6.8,1,Travis
78669,6.6,1,Travis
78759,6.3,1,Travis
78734,6.1,1,Travis
78736,4.5,1,Travis
78735,3.7,1,Travis
78731,3.4,1,Travis
78703,2,1,Travis
78738,1.6,1,Travis
78701,1.5,1,Travis
78730,1.5,1,Travis
78739,1.4,1,Travis
78732,1.1,1,Travis
78733,0.6,1,Travis
78746,0.6,1,Travis
