OBJECTID,ID,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,HSIPTHEMES,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,UCAOA_ID
4001,0,FARRAGUT WALK-IN CLINIC,865-671-6026,11408 KINGSTON PIKE, ,KNOXVILLE,TN,37934,3975,KNOX,47093,"LOC ON THE SOUTHEAST SIDE OF KINGSTON PIKE, APPR .1 MILES SOUTHWEST OF S CAMPBELL STATION RD.", , , ,2009-02-11T00:00:00.000Z,PHONE,2009-02-11T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",24657452,-84.1615717,35.8801188,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
4002,1,TRISTATE URGENT CARE OF OAKLEY,513-531-1505,5002 RIDGE AVENUE, ,CINCINNATI,OH,45209,5015,HAMILTON,39061,LOCATED ON THE NORTH WEST CORNER OF RIDGE AVE AND CALVERT ST, , , ,2009-01-30T00:00:00.000Z,PHONE,2009-01-30T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",32010448,-84.4223299,39.1639541,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_3004
4003,2,SOLANTIC WALK-IN URGENT CARE - MANDARIN,904-288-0277,12303 SAN JOSE BOULEVARD, ,JACKSONVILLE,FL,32223,2640,DUVAL,12031,LOCATED ON THE SE CORNER OF PADDLE CREEK DR AND SR-13., , , ,2008-02-07T00:00:00.000Z,PHONE,2008-02-07T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",23055221,-81.6321559,30.1449767,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, 
4004,3,CONCENTRA URGENT CARE - HARRISBURG WEST,717-795-1819,4910 RITTER ROAD, ,MECHANICSBURG,PA,17055,4891,CUMBERLAND,42041,"LOC ON THE NORTHEAST SIDE OF RITTER RD, LESS THAN .1 MILES NORTHWEST OF LOUISE DR.", , , ,2009-02-02T00:00:00.000Z,PHONE,2009-02-02T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",43026986,-76.9569441,40.2053116,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
4005,4,EL CENTRO HERIDAS Y ULCERAS,787-735-8001,CALLE JOSE C VAZQUEZ, ,AIBONITO,PR,705, ,AIBONITO,72009,S SIDE OF CALLE DR GEORGE D TROYER ABOUT .1 MI E OF CALLE JOSE C VAZQUEZ, , , ,2009-02-12T00:00:00.000Z,PHONE,2009-02-12T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",120166426,-66.2613409,18.1431537,NAVTEQ,2008Q1,ONENTITY,NO,TGS, 
4006,5,SOLANTIC WALK-IN URGENT CARE - POMPANO BEACH,954-580-4401,1611 SOUTH FEDERAL HIGHWAY, ,POMPANO BEACH,FL,33062,7514,BROWARD,12011,LOCATED ON THE WEST SIDE OF S FEDERAL HWY BETWEEN NE 65TH ST AND SE 15TH ST, , , ,2009-01-15T00:00:00.000Z,PHONE,2009-01-15T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",127627702,-80.1073601,26.2107405,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
4007,6,GARDENS URGENT CARE,561-626-4878,3555 NORTHLAKE BOULEVARD, ,WEST PALM BEACH,FL,33403,1650,PALM BEACH,12099,169 YARDS WEST OF MCARTHUR BLVD ON THE NORTH SIDE OF NORTHLAKE BLVD, , , ,2008-03-10T00:00:00.000Z,PHONE,2008-03-10T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",22612206,-80.0895389,26.8088654,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, 
4008,7,MEDEXPRESS URGENT CARE - SOUTH HILLS,412-854-3627,2600 OLD WASHINGTON ROAD, ,UPPER SAINT CLAIR,PA,15241,2524,ALLEGHENY,42003,ON THE W SIDE OF OLD WASHINGTON RD BETWEEN BOYCE RD AND PHILLIP DR, , , ,2008-03-17T00:00:00.000Z,PHONE,2008-03-17T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",126742205,-80.0892832,40.3131028,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, 
4009,8,HOUSTON MEDICAL CENTER - PAVILLION MED STOP,478-923-2843,233 NORTH HOUSTON ROAD, ,WARNER ROBINS,GA,31093,3074,HOUSTON,13153,"LOCATED ON THE WEST SIDE OF NORTH HOUSTON ROAD, BETWEEN BIRCH AVENUE AND WATSON BOULEVARD.", , , ,2009-02-19T00:00:00.000Z,PHONE,2009-02-19T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",104730333,-83.6434071,32.619323,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
4010,9,DOCTORS CARE - KNOXVILLE,865-675-3311,101 GLENLEIGH COURT, ,KNOXVILLE,TN,37934,3052,KNOX,47093,LOC ON THE SOUTH CORNER OF THE T-INTERSECTION OF KINGSTON PIKE & GLENLEIGH CT., , , ,2009-02-11T00:00:00.000Z,PHONE,2009-02-11T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",24658080,-84.1440084,35.8917447,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
4011,10,REDDY MEDICAL GROUP - DANIELSVILLE,706-795-2211,280 GENERAL DANIELS AVENUE, ,DANIELSVILLE,GA,30633, ,MADISON,13195,"LOCATED ON THE EAST SIDE OF US-29, APPROX .1MI SOUTH OF GA 98.", , , ,2009-02-20T00:00:00.000Z,PHONE,2009-02-20T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",22760761,-83.2180062,34.1283572,NAVTEQ,2008Q1,ONENTITY,NO,TGS, 
4012,11,FALLS CHURCH URGENT CARE,703-538-1505,920-B WEST BROAD STREET, ,FALLS CHURCH,VA,22046,3137,FALLS CHURCH CITY,51610,LOC ON THE NE SIDE OF W BROAD ST .1 MI SE OF N WEST ST., , , ,2009-02-06T00:00:00.000Z,PHONE,2009-02-06T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",18452441,-77.1830878,38.8902605,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
4013,12,OUTER BANKS URGENT CARE,252-261-8040,4923 SOUTH CROATAN HIGHWAY, ,NAGS HEAD,NC,27959,9709,DARE,37055,LOCATED ON THE EAST SIDE OF S CROATAN HWY APPROX. 0.10 MILE NORTH OF E MALL DR, , , ,2009-04-14T00:00:00.000Z,PHONE,2009-04-14T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",128095157,-75.615411,35.9393612,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
